student_id,first_name,last_name,gender,email,phone_number,date_of_birth,address,enrollment_year,department_id
1,Lorettalorna,Margram,Female,lmargram0@squidoo.com,402-786-7226,8/26/2025,1 Burning Wood Crossing,2022,4
2,Carmine,Giggs,Female,cgiggs1@deviantart.com,831-597-7858,7/4/2025,0341 Lien Street,2025,8
3,Lynde,Jurzyk,Female,ljurzyk2@berkeley.edu,145-743-9509,9/11/2025,75839 Gina Center,2024,10
4,Rouvin,Halahan,Male,rhalahan3@oakley.com,363-137-3943,6/15/2026,697 Manufacturers Avenue,2024,6
5,Franciskus,Greguoli,Male,fgreguoli4@barnesandnoble.com,214-544-4391,8/17/2025,76 Northland Plaza,2024,6
6,Worthy,Warstall,Male,wwarstall5@etsy.com,577-858-8566,4/12/2026,121 Jana Plaza,2023,6
7,Alia,Kelcey,Female,akelcey6@nsw.gov.au,714-565-2807,6/4/2026,8547 Pawling Drive,2023,6
8,Care,Lawerence,Male,clawerence7@vkontakte.ru,855-565-9481,11/17/2025,95248 Crownhardt Way,2025,9
9,Deidre,Doget,Female,ddoget8@parallels.com,583-596-9656,11/5/2025,44 Warner Lane,2022,9
10,Aldis,Atte-Stone,Male,aattestone9@google.cn,552-967-5004,5/19/2026,98123 Starling Hill,2023,7
11,Sophia,Brim,Genderfluid,sbrima@surveymonkey.com,779-436-9433,8/17/2025,9 Farragut Avenue,2024,7
12,Ive,Godrich,Agender,igodrichb@home.pl,798-411-9975,6/29/2025,13333 Onsgard Avenue,2024,1
13,Elia,Galiford,Male,egalifordc@tumblr.com,126-530-8051,12/5/2025,30 Anthes Terrace,2023,6
14,Elonore,Ennals,Female,eennalsd@nba.com,713-354-4688,4/22/2026,7870 Kedzie Point,2022,6
15,Worth,Allott,Male,wallotte@addtoany.com,292-284-0964,10/29/2025,13 Debs Point,2022,5
16,Jonathan,Garritley,Male,jgarritleyf@tiny.cc,735-428-7842,8/19/2025,410 Annamark Road,2024,1
17,Gerri,Glusby,Male,gglusbyg@opensource.org,218-221-8998,6/22/2025,14 Schiller Point,2023,6
18,Griff,Meatyard,Male,gmeatyardh@oaic.gov.au,957-185-6010,12/24/2025,3221 Heffernan Alley,2023,8
19,Donall,Ketcher,Male,dketcheri@hatena.ne.jp,389-934-7448,2/24/2026,9373 Columbus Plaza,2023,9
20,Morgana,McPheat,Female,mmcpheatj@tamu.edu,668-171-0642,12/10/2025,7673 Valley Edge Drive,2022,4
21,Jamal,McGhee,Male,jmcgheek@google.ca,856-467-3394,6/26/2025,13469 Maywood Center,2024,6
22,Giavani,Peggs,Male,gpeggsl@time.com,298-861-3265,11/4/2025,8140 5th Park,2023,6
23,Rudolfo,Canacott,Non-binary,rcanacottm@yahoo.com,568-762-2916,10/15/2025,31642 Heath Center,2025,6
24,Isador,Espadero,Male,iespaderon@sourceforge.net,804-808-3426,1/9/2026,121 Monterey Court,2022,2
25,Moria,Burrill,Female,mburrillo@google.es,798-410-6523,1/26/2026,0 Novick Parkway,2024,8
26,Arden,MacKessock,Female,amackessockp@pagesperso-orange.fr,228-961-8170,4/6/2026,7 Mccormick Drive,2025,7
27,Georgina,Devereux,Female,gdevereuxq@europa.eu,940-368-7463,8/23/2025,3 New Castle Drive,2025,3
28,Ginnifer,Maxsted,Female,gmaxstedr@infoseek.co.jp,851-310-9907,10/5/2025,067 Corscot Hill,2023,7
29,Rubi,Trank,Female,rtranks@latimes.com,658-724-1694,8/9/2025,10 Carpenter Street,2025,6
30,Francisca,Hancorn,Female,fhancornt@intel.com,630-992-7922,1/9/2026,0 Canary Point,2022,8
31,Carmine,Iveans,Female,civeansu@vimeo.com,335-870-6215,4/22/2026,170 Vernon Drive,2025,1
32,Ardene,Rollings,Female,arollingsv@whitehouse.gov,822-708-3249,12/29/2025,85635 Blaine Plaza,2022,2
33,Teodora,Shaxby,Female,tshaxbyw@symantec.com,758-810-7662,11/22/2025,57903 Hintze Road,2024,5
34,Marwin,Rydings,Male,mrydingsx@ifeng.com,587-828-1497,7/16/2025,827 Daystar Road,2022,6
35,Averil,Vagges,Female,avaggesy@addtoany.com,241-874-4949,1/29/2026,652 Maple Wood Park,2024,9
36,Helene,Cuniam,Female,hcuniamz@aol.com,649-159-1351,1/3/2026,5697 Delladonna Drive,2022,9
37,Even,Peeke-Vout,Male,epeekevout10@webmd.com,102-305-3775,5/11/2026,04 Birchwood Avenue,2023,10
38,Callean,Phlippi,Male,cphlippi11@umich.edu,197-833-5898,2/8/2026,78242 Granby Parkway,2023,3
39,Mose,Pine,Male,mpine12@hhs.gov,246-751-7192,12/6/2025,652 Monument Lane,2022,5
40,Claiborn,Nisby,Male,cnisby13@oaic.gov.au,841-726-3007,1/29/2026,0 Schmedeman Lane,2024,1
41,Martita,Duval,Female,mduval14@sourceforge.net,196-871-0133,7/24/2025,66 Lillian Alley,2024,9
42,Tatiania,Blenkharn,Agender,tblenkharn15@gmpg.org,382-102-6129,1/18/2026,444 Elka Way,2022,10
43,Teodoor,Spicer,Male,tspicer16@last.fm,242-583-6995,6/1/2026,5 Rutledge Terrace,2024,8
44,Catie,Videneev,Female,cvideneev17@fotki.com,669-939-8036,11/2/2025,86 Mariners Cove Terrace,2023,9
45,Rufe,Eggleton,Male,reggleton18@mediafire.com,921-905-1980,5/17/2026,40 Cordelia Parkway,2024,1
46,Bea,Tingey,Genderfluid,btingey19@yolasite.com,856-902-4625,3/19/2026,4 Scott Terrace,2022,5
47,Fabiano,Scudders,Male,fscudders1a@squarespace.com,350-352-3381,11/27/2025,0 Melvin Terrace,2025,3
48,Coop,Chesterton,Male,cchesterton1b@china.com.cn,739-784-3932,4/21/2026,4 Mariners Cove Lane,2025,1
49,Bonni,Freshwater,Female,bfreshwater1c@jimdo.com,934-804-8382,4/23/2026,60602 Merry Drive,2023,9
50,Ashil,Westrey,Female,awestrey1d@mozilla.org,441-846-9853,7/22/2025,245 Orin Terrace,2022,5
51,Esmeralda,Whitehair,Non-binary,ewhitehair1e@usgs.gov,362-713-1757,11/17/2025,8120 Emmet Alley,2024,9
52,Town,Woolerton,Male,twoolerton1f@adobe.com,980-251-3426,1/13/2026,207 Hagan Trail,2023,2
53,Grayce,Bolesma,Female,gbolesma1g@cnbc.com,675-325-8625,1/31/2026,64073 Oak Valley Way,2023,8
54,Tome,Ivel,Male,tivel1h@umich.edu,520-723-6598,12/27/2025,765 Hagan Park,2024,4
55,Arlene,Haddinton,Female,ahaddinton1i@51.la,711-611-5900,4/19/2026,41721 Russell Road,2025,6
